"09491775";ACCREDITATION AND QUALITY ASSURANCE;B2
"14355558";COGNITION, TECHNOLOGY & WORK (PRINT);A1
"14528630";APPLICABLE ANALYSIS AND DISCRETE MATHEMATICS;A3
"23582006";REVISTA MAPA D2;nulo
APCASE;Asia-Pacific Conference on Computer Aided System Engineering;B3
"01031104";SAUDE EM DEBATE;nulo
1531636X;IEEE CIRCUITS AND SYSTEMS MAGAZINE (NEW YORK, N.Y. 2001: PRINT);A3
"1618727X";JOURNAL OF DIGITAL IMAGING (INTERNET);A2
QRSW;IEEE International Conference on Software Quality, Reliability and Security Companion;B2
GIScience;International Conference on Geographic Information Science;A3
"21510032";AMERICAN SOCIETY OF AGRICULTURAL AND BIOLOGICAL ENGINEERS. TRANSACTIONS;A3
CHI;ACM Conference on Human Factors in Computing Systems;A1
ICCPS;International Conference on Cyber-Physical Systems;A2
"18082882";CUSTOS E @GRONEGÓCIO ONLINE;B3
PPDP;International Symposium on Principles and Practice of Declarative Programming;B1
"18078664";ACTA SCIENTIARUM. TECHNOLOGY (ONLINE);B2
ICCIC;International Conference on Computational Intelligence and Computing Research;A4
CBIS;Congresso Brasileiro de Informática em Saúde;B4
IEEE VIS;IEEE Visualization;A1
HPCA;IEEE International Symposium on High Performance Computer Architecture;A1
SECON;IEEE International Conference on Sensing, Communication and Networking;A2
"10586180";IEEE ANNALS OF THE HISTORY OF COMPUTING;A4
"00393215";STUDIA LOGICA;A3
IAAI;International Conference of the Italian Association for Artificial Intelligence;B4
"19816278";RECIIS. REVISTA ELETRÔNICA DE COMUNICAÇÃO, INFORMAÇÃO & INOVAÇÃO EM SAÚDE (EDIÇÃO EM PORTUGUÊS. ONLINE);nulo
"17517575";ENTERPRISE INFORMATION SYSTEMS (PRINT);A2
IEEE NANO;IEEE Conference on Nanotechnology;B2
LAK;International Learning Analytics and Knowledge Conference;A2
"3DV";International Conference on 3D Vision;A2
NOCS;ACM/IEEE International Symposium on Networks-on-Chip;A3
"00457906";COMPUTERS & ELECTRICAL ENGINEERING;A2
"14327643";SOFT COMPUTING (HEIDELBERG);A1
"01912615";TRANSPORTATION RESEARCH, SERIES B: METHODOLOGICAL;A1
MPPU;Models and Paradigms for Planning under Uncertainty: a Broad Perspective Workshop;B4
"25254782";REVISTA MUNDI ENGENHARIA, TECNOLOGIA E GESTÃO;nulo
"22919694";JMIR MEDICAL INFORMATICS;nulo
"18961533";CENTRAL EUROPEAN JOURNAL OF COMPUTER SCIENCE;nulo
ICCE;IEEE International Conference on Consumer Electronics;B1
"22150161";METHODSX;B2
